url,label,source,backlinks,refpages,pages,valid_pages,text,image,nofollow,ugc,sponsored,dofollow,redirect,canonical,gov,edu,rss,alternate,html_pages,links_internal,links_external,refdomains,refclass_c,refips,linked_root_domains
news.yahoo.com,5,MBFC,363473530,105125254,17030443,17030126,356568386,18918487,23382107,377947,3963,333174870,936435,4484821,151422,933674,71568,4946,12977830,572818675,324028436,538101,85373,216680,408653
news10.com,5,MBFC,1362614,687439,129467,129465,1338778,91745,687384,1424,5,651367,5053,17422,671,1517,205,124,120478,9811899,3879629,35623,8900,16477,8680
news10.com/fox-23,5,MBFC,1368775,686624,135543,135537,1342304,92345,640719,1424,8,701558,5621,19470,701,1576,201,132,126581,10449686,4037719,35897,8861,16386,9047
news18.com,3,MBFC-Q,76254929,21561379,14396543,14395722,75819613,10527691,5759917,12496,297,70058175,242255,172720,282075,18155,809,149,8528868,986454119,174296729,321498,25762,61887,10532
news24.com,5,MBFC,7112553,4077682,2832516,2832516,6918102,122736,792508,23975,1235,6123930,158454,19618,10679,84963,1701,668,1429505,58304296,28112539,93993,29167,63501,18071
news3lv.com,5,MBFC,317855,215303,35561,35541,312328,47196,72778,6553,5,239517,1493,3302,142,3162,49,37,13813,133128,58363,25480,8010,14879,1174
news4jax.com,5,MBFC,3168814,856846,567247,567151,3061862,95604,375342,17017,270,2686348,9958,95286,382,20630,407,1,513851,79280493,7343771,56461,13864,28580,11097
news4sanantonio.com,5,MBFC,282348,208106,31762,31750,271446,35961,53650,1465,26,217755,1332,8431,374,2744,43,52,18123,169371,86359,25048,7483,14404,1389
news5cleveland.com,5,MBFC,1063217,520243,50377,50375,1047870,37456,188874,3592,6,858952,11158,899,407,3166,264,16,36694,5198939,827014,31719,12386,22603,7978
news8000.com,5,MBFC,377174,329790,180568,180567,373005,9050,315058,235,0,57944,505,2986,142,2833,344,2,156739,15605779,2672947,8150,4087,6250,10444
news9.com,5,MBFC,1034698,635763,180083,180076,1029546,18211,227323,4716,24,802184,653,676,170,2297,83,624,137379,18799038,2308612,23310,9799,17835,7370
newsadvance.com,5,MBFC,449865,334647,69244,69243,447697,5434,207699,882,0,239990,698,673,134,3149,664,29,10125,758823,135055,14144,6379,10137,2101
newsammo.com,3,MBFC-Q,53931,26324,273,273,53929,22325,1137,14,0,52792,1,0,0,0,0,0,33,408,4719,370,191,253,163
newsandsentinel.com,5,MBFC,266691,185590,56276,56274,265523,5507,143281,180,0,122241,345,782,289,379,32,2,45935,1494045,422486,9577,4289,7280,77
newsbiscuit.com,1,Blacklist,354053,119299,12456,12445,352579,4349,47728,848,0,304808,1273,7,6,365,175,3,9174,146387,71258,4603,1913,2420,32
newsblaze.com,3,MBFC-Q,766214,299874,129835,129832,765300,22671,49497,3119,0,715794,307,0,64,3289,448,4,106211,4199282,808484,12800,5287,7744,8203
newsbreak.com,3,MBFC-Q,5028228,3173189,8756375,8755151,4925648,946196,1276960,7677,280,3648081,1421,20625,495,14521,156,0,8573492,1399657442,40516886,37041,14662,28197,212567
newsbud.com,4,MBFC,285457,186778,13,13,285235,538,3109,722,0,281678,196,0,0,10,0,0,11,758,195,1408,911,1157,12
newsbusters.org,4,MBFC,12214153,4391727,562763,562618,12192715,119527,269395,20560,52,11923099,9713,10393,46,2217,1257,43,418557,9875452,8407884,38927,10996,22023,13985
newscentermaine.com,5,MBFC,1147516,931134,758178,758137,526989,34178,111040,1075,12,415878,3192,616224,240,2138,104,1,543244,33279035,6646511,28273,8162,14156,75469
newschannel10.com,5,MBFC,361545,130434,315415,315407,360376,21559,49455,1252,3,310905,262,756,70,1054,82,0,65738,5736611,1282055,13732,4737,7399,3858
newschannel5.com,5,MBFC,597066,366463,45691,45691,594882,69669,139114,6799,12,455739,1014,627,998,1754,501,1,37443,3096786,616319,26234,10656,19288,8172
newschannel6now.com,5,MBFC,129324,67014,1071381,1071378,128569,13548,42935,687,1,85623,154,485,71,554,96,0,49382,4019182,351287,8178,2942,4223,3429
newschannel9.com,5,MBFC,269041,148084,29873,29834,265344,19151,40789,1697,3,224543,395,2562,623,578,14,193,9957,79735,39879,16017,6113,11042,802
newschief.com,5,MBFC,174773,70968,1703810,1703791,172483,18747,16918,207,0,155560,719,1564,1367,1453,1,1,446028,12190159,5611237,6095,2316,3442,47404
newscorpse.com,4,MBFC,320940,125224,20246,20246,320827,4418,5056,936,0,315769,79,0,0,15,30,0,19038,1682886,1610063,2273,1046,1335,3232
newsdaily12.com,1,Blacklist,15462,15357,11,10,15462,0,1,0,0,15461,0,0,0,3,0,0,5,1,338,58,49,56,38
newsday.com,5,MBFC,16305674,7321443,1478385,1475680,15800704,1096812,1549611,25300,40,14249982,8536,4780,12568,535718,1799,127,1066208,116049405,16146819,180001,28544,60531,13206
newsela.com,5,MBFC,1292070,1071435,22397,22391,1265201,76465,48594,432,19,1216600,976,364,506,3723,106,17,16918,100351,18578,21188,7215,10883,196
newser.com,5,MBFC,3149046,1229910,546272,546270,3119471,100659,632460,6468,3,2486918,15980,1262,143,2938,699,320,478831,21576919,4231948,37290,10942,19127,15624
newsexaminer.net,1,Blacklist,12180,7255,3902,3901,12152,869,3935,953,0,8213,13,0,4,153,0,0,3616,202266,6435,2059,1180,1453,1901
newsfactsnetwork.com,6,MBFC,79891,11761,8144,8143,79890,273,4727,17,0,75163,0,0,0,1,1,0,7401,398876,227525,297,235,287,1500
news-gazette.com,5,MBFC,792245,501807,50544,50542,789444,14369,286584,1907,0,502837,1234,588,97,9259,910,0,12271,732122,232891,21154,8624,15202,386
newsguardtech.com,5,MBFC,770948,720927,2656,2656,770854,98670,44613,950,2,726053,45,0,320,17882,0,0,1989,51486,9641,9316,4809,8155,662
newsherald.com,5,MBFC,695978,230512,1472758,1472729,581725,40642,123378,1601,0,458347,255,113927,145,3167,45,1,503252,9881317,3650078,14547,5639,8963,35599
news-herald.com,5,MBFC,3450253,989978,50685,50679,3409531,170808,284524,2846,1,3124972,847,14116,330,2069,159,7,25879,360352,129784,16684,7093,11603,109
newshounds.us,4,MBFC,1448304,622386,65607,65607,1448152,8103,15002,1142,0,1433145,106,2,0,108,38,0,17004,637295,246787,6014,2324,3110,3252
newsinsideout.com,3,MBFC,133422,41017,7500,7499,133287,1069,3029,166,0,130258,13,0,1,2,0,0,6687,649714,70599,1215,811,1032,1837
news-journal.com,5,MBFC,507005,397303,45211,45208,505554,8054,232389,2484,2,273161,412,464,511,1285,544,0,5295,320512,107839,17880,6806,11324,1234
newsjustforyou1.blogspot.com,1,Blacklist,39139,23997,12108,12103,39025,10,1154,4,0,37871,62,0,0,2,52,0,12097,1503824,311785,137,92,129,2742
news-leader.com,5,MBFC,3009067,803798,2321057,2321004,2460419,183894,289790,4055,30,2170496,961,545804,1079,7021,227,4,588851,13709257,5388888,24488,9616,17118,42225
newslo.com,1,Blacklist,49768,24215,1270,1270,49757,850,1628,107,0,48125,1,0,0,49,10,0,744,26541,3288,1190,588,731,194
newslookup.com,4,MBFC,106995,106247,45,45,106966,318,2508,89,0,104457,4,5,0,31,4,0,11,209,831,1463,947,1172,28
